Entry,Region,Start,End,domain name
Q6UVK1,Repeat,553,645,CSPG 2
Q6UVK1,Repeat,662,764,CSPG 3
Q6UVK1,Repeat,783,878,CSPG 4
Q6UVK1,Repeat,898,989,CSPG 5
Q6UVK1,Repeat,1018,1110,CSPG 6
Q6UVK1,Repeat,1126,1216,CSPG 7
Q6UVK1,Repeat,1238,1337,CSPG 8
Q6UVK1,Repeat,1356,1449,CSPG 9
Q6UVK1,Repeat,1473,1563,CSPG 10
Q6UVK1,Repeat,1581,1679,CSPG 11
Q6UVK1,Repeat,1704,1803,CSPG 12
Q6UVK1,Repeat,1832,1924,CSPG 13
Q6UVK1,Repeat,1941,2029,CSPG 14
Q6UVK1,Repeat,2038,2147,CSPG 15
P16422,Domain,63,135,Thyroglobulin type-1
P29317,Domain,28,206,Eph LBD
P29317,Domain,328,432,Fibronectin type-III 1
P29317,Domain,438,529,Fibronectin type-III 2
P29317,Domain,613,875,Protein kinase
P29317,Domain,904,968,SAM
P01732,Domain,22,135,Ig-like V-type
P01730,Domain,26,125,Ig-like V-type
P01730,Domain,126,203,Ig-like C2-type 1
P01730,Domain,204,317,Ig-like C2-type 2
P01730,Domain,318,374,Ig-like C2-type 3
P06729,Domain,25,128,Ig-like V-type
P06729,Domain,129,209,Ig-like C2-type
P35968,Domain,46,110,Ig-like C2-type 1
P35968,Domain,141,207,Ig-like C2-type 2
P35968,Domain,224,320,Ig-like C2-type 3
P35968,Domain,328,414,Ig-like C2-type 4
P35968,Domain,421,548,Ig-like C2-type 5
P35968,Domain,551,660,Ig-like C2-type 6
P35968,Domain,667,753,Ig-like C2-type 7
P35968,Domain,834,1162,Protein kinase
Q8N126,Domain,25,126,Ig-like V-type
Q8N126,Domain,130,228,Ig-like C2-type 1
Q8N126,Domain,233,315,Ig-like C2-type 2
Q9UQC9,Domain,311,483,VWFA
Q14126,Domain,50,160,Cadherin 1
Q14126,Domain,161,273,Cadherin 2
Q14126,Domain,274,388,Cadherin 3
Q14126,Domain,389,503,Cadherin 4
Q14126,Repeat,881,912,Desmoglein repeat 1
Q14126,Repeat,913,942,Desmoglein repeat 2
Q14126,Repeat,943,968,Desmoglein repeat 3
Q14126,Repeat,969,992,Desmoglein repeat 4
Q14126,Repeat,993,1021,Desmoglein repeat 5
Q14126,Repeat,1022,1051,Desmoglein repeat 6
P33151,Domain,48,151,Cadherin 1
P33151,Domain,152,258,Cadherin 2
P33151,Domain,259,372,Cadherin 3
P33151,Domain,373,477,Cadherin 4
P33151,Domain,478,593,Cadherin 5
Q04721,Domain,26,63,EGF-like 1
Q04721,Domain,64,102,EGF-like 2
Q04721,Domain,105,143,EGF-like 3
Q04721,Domain,144,180,EGF-like 4
Q04721,Domain,182,219,EGF-like 5
Q04721,Domain,221,258,EGF-like 6
Q04721,Domain,260,296,EGF-like 7
Q04721,Domain,298,336,EGF-like 8
Q04721,Domain,338,374,EGF-like 9
Q04721,Domain,375,413,EGF-like 10
Q04721,Domain,415,454,EGF-like 11
Q04721,Domain,456,492,EGF-like 12
Q04721,Domain,494,530,EGF-like 13
Q04721,Domain,532,568,EGF-like 14
Q04721,Domain,570,605,EGF-like 15
Q04721,Domain,607,643,EGF-like 16
Q04721,Domain,645,680,EGF-like 17
Q04721,Domain,682,718,EGF-like 18
Q04721,Domain,720,755,EGF-like 19
Q04721,Domain,757,793,EGF-like 20
Q04721,Domain,795,831,EGF-like 21
Q04721,Domain,833,871,EGF-like 22
Q04721,Domain,873,909,EGF-like 23
Q04721,Domain,911,947,EGF-like 24
Q04721,Domain,949,985,EGF-like 25
Q04721,Domain,987,1023,EGF-like 26
Q04721,Domain,1025,1061,EGF-like 27
Q04721,Domain,1063,1099,EGF-like 28
Q04721,Domain,1101,1147,EGF-like 29
Q04721,Domain,1149,1185,EGF-like 30
Q04721,Domain,1187,1223,EGF-like 31
Q04721,Domain,1225,1262,EGF-like 32
Q04721,Domain,1264,1302,EGF-like 33
Q04721,Domain,1304,1343,EGF-like 34
Q04721,Domain,1374,1412,EGF-like 35
Q04721,Repeat,1425,1465,LNR 1
Q04721,Repeat,1466,1502,LNR 2
Q04721,Repeat,1503,1544,LNR 3
Q04721,Repeat,1827,1871,ANK 1
Q04721,Repeat,1876,1905,ANK 2
Q04721,Repeat,1909,1939,ANK 3
Q04721,Repeat,1943,1972,ANK 4
Q04721,Repeat,1976,2005,ANK 5
Q04721,Repeat,2009,2038,ANK 6
P37173,Domain,244,544,Protein kinase
Q9ULL4,Domain,45,471,Sema
Q9ULL4,Domain,473,526,PSI 1
Q9ULL4,Domain,620,682,PSI 2
Q9ULL4,Domain,787,833,PSI 3
Q9ULL4,Domain,835,925,IPT/TIG 1
Q9ULL4,Domain,927,1012,IPT/TIG 2
Q9ULL4,Domain,1015,1145,IPT/TIG 3
Q9ULL4,Domain,1159,1244,IPT/TIG 4
P82279,Domain,30,68,EGF-like 1
P82279,Domain,70,108,EGF-like 2
P82279,Domain,110,146,EGF-like 3
P82279,Domain,148,184,EGF-like 4
P82279,Domain,186,222,EGF-like 5
P82279,Domain,224,260,EGF-like 6
P82279,Domain,262,299,EGF-like 7
P82279,Domain,301,337,EGF-like 8
P82279,Domain,339,395,EGF-like 9
P82279,Domain,397,439,EGF-like 10
P82279,Domain,441,481,EGF-like 11
P82279,Domain,485,670,Laminin G-like 1
P82279,Domain,672,708,EGF-like 12
P82279,Domain,714,885,Laminin G-like 2
P82279,Domain,887,923,EGF-like 13
P82279,Domain,924,960,EGF-like 14
P82279,Domain,950,1137,Laminin G-like 3
P82279,Domain,1139,1175,EGF-like 15
P82279,Domain,1177,1212,EGF-like 16
P82279,Domain,1214,1250,EGF-like 17
P82279,Domain,1255,1295,EGF-like 18
P82279,Domain,1297,1333,EGF-like 19
P07202,Domain,740,795,Sushi
P07202,Domain,796,839,EGF-like
Q96QU1,Domain,40,147,Cadherin 1
Q96QU1,Domain,148,265,Cadherin 2
Q96QU1,Domain,278,395,Cadherin 3
Q96QU1,Domain,396,509,Cadherin 4
Q96QU1,Domain,510,616,Cadherin 5
Q96QU1,Domain,617,717,Cadherin 6
Q96QU1,Domain,719,819,Cadherin 7
Q96QU1,Domain,820,926,Cadherin 8
Q96QU1,Domain,927,1035,Cadherin 9
Q96QU1,Domain,1037,1144,Cadherin 10
Q96QU1,Domain,1145,1259,Cadherin 11
Q99523,Repeat,145,156,BNR 1
Q99523,Repeat,198,209,BNR 2
Q99523,Repeat,240,251,BNR 3
Q99523,Repeat,287,298,BNR 4
Q99523,Repeat,328,339,BNR 5
Q99523,Repeat,377,388,BNR 6
Q99523,Repeat,428,439,BNR 7
Q99523,Repeat,506,517,BNR 8
Q99523,Repeat,548,559,BNR 9
P08F94,Domain,24,111,IPT/TIG 1
P08F94,Domain,137,232,IPT/TIG 2
P08F94,Domain,259,335,IPT/TIG 3
P08F94,Domain,322,485,PA14
P08F94,Domain,931,1015,IPT/TIG 4
P08F94,Domain,1019,1103,IPT/TIG 5
P08F94,Domain,1108,1192,IPT/TIG 6
P08F94,Domain,1196,1289,IPT/TIG 7
P08F94,Domain,1301,1382,IPT/TIG 8
P08F94,Domain,1389,1481,IPT/TIG 9
P08F94,Domain,1486,1570,IPT/TIG 10
P08F94,Domain,1573,1659,IPT/TIG 11
P08F94,Domain,1658,1742,IPT/TIG 12
P08F94,Domain,1932,2053,G8 1
P08F94,Repeat,2226,2248,PbH1 1
P08F94,Repeat,2249,2271,PbH1 2
P08F94,Repeat,2292,2325,PbH1 3
P08F94,Repeat,2326,2347,PbH1 4
P08F94,Repeat,2409,2431,PbH1 5
P08F94,Repeat,2469,2502,PbH1 6
P08F94,Domain,2747,2873,G8 2
P08F94,Repeat,3010,3032,PbH1 7
P08F94,Repeat,3033,3055,PbH1 8
P08F94,Repeat,3086,3108,PbH1 9
P58400,Domain,91,289,Laminin G-like
P11215,Repeat,18,75,FG-GAP 1
P11215,Repeat,76,135,FG-GAP 2
P11215,Domain,150,328,VWFA
P11215,Repeat,339,390,FG-GAP 3
P11215,Repeat,391,442,FG-GAP 4
P11215,Repeat,443,503,FG-GAP 5
P11215,Repeat,506,564,FG-GAP 6
P11215,Repeat,569,629,FG-GAP 7
P08887,Domain,26,112,Ig-like C2-type
P08887,Domain,113,217,Fibronectin type-III 1
P08887,Domain,218,316,Fibronectin type-III 2
Q9NPG4,Domain,28,135,Cadherin 1
Q9NPG4,Domain,136,244,Cadherin 2
Q9NPG4,Domain,245,352,Cadherin 3
Q9NPG4,Domain,355,460,Cadherin 4
Q9NPG4,Domain,461,565,Cadherin 5
Q9NPG4,Domain,600,711,Cadherin 6
Q92673,Repeat,136,147,BNR 1
Q92673,Repeat,232,243,BNR 2
Q92673,Repeat,441,452,BNR 3
Q92673,Repeat,521,532,BNR 4
Q92673,Repeat,562,573,BNR 5
Q92673,Repeat,800,843,LDL-receptor class B 1
Q92673,Repeat,844,887,LDL-receptor class B 2
Q92673,Repeat,888,932,LDL-receptor class B 3
Q92673,Repeat,933,970,LDL-receptor class B 4
Q92673,Repeat,971,1013,LDL-receptor class B 5
Q92673,Domain,1026,1072,EGF-like
Q92673,Domain,1076,1114,LDL-receptor class A 1
Q92673,Domain,1115,1155,LDL-receptor class A 2
Q92673,Domain,1156,1194,LDL-receptor class A 3
Q92673,Domain,1198,1236,LDL-receptor class A 4
Q92673,Domain,1238,1272,LDL-receptor class A 5
Q92673,Domain,1273,1317,LDL-receptor class A 6
Q92673,Domain,1323,1361,LDL-receptor class A 7
Q92673,Domain,1366,1405,LDL-receptor class A 8
Q92673,Domain,1417,1455,LDL-receptor class A 9
Q92673,Domain,1469,1508,LDL-receptor class A 10
Q92673,Domain,1512,1551,LDL-receptor class A 11
Q92673,Domain,1557,1649,Fibronectin type-III 1
Q92673,Domain,1653,1745,Fibronectin type-III 2
Q92673,Domain,1749,1844,Fibronectin type-III 3
Q92673,Domain,1843,1927,Fibronectin type-III 4
Q92673,Domain,1934,2029,Fibronectin type-III 5
Q92673,Domain,2030,2118,Fibronectin type-III 6
P10721,Domain,27,112,Ig-like C2-type 1
P10721,Domain,121,205,Ig-like C2-type 2
P10721,Domain,212,308,Ig-like C2-type 3
P10721,Domain,317,410,Ig-like C2-type 4
P10721,Domain,413,507,Ig-like C2-type 5
P10721,Domain,589,937,Protein kinase
Q9HBB8,Domain,71,124,Cadherin 1
Q9HBB8,Domain,125,237,Cadherin 2
Q9HBB8,Domain,249,354,Cadherin 3
Q9HBB8,Domain,355,459,Cadherin 4
Q9HBB8,Repeat,540,570,1
Q9HBB8,Repeat,571,601,2
Q9HBB8,Repeat,602,631,3
Q9HBB8,Repeat,632,645,4
P14151,Domain,55,155,C-type lectin
P14151,Domain,156,192,EGF-like
P14151,Domain,195,256,Sushi 1
P14151,Domain,257,318,Sushi 2
P98164,Domain,27,63,LDL-receptor class A 1
P98164,Domain,66,104,LDL-receptor class A 2
P98164,Domain,107,143,LDL-receptor class A 3
P98164,Domain,146,180,LDL-receptor class A 4
P98164,Domain,182,218,LDL-receptor class A 5
P98164,Domain,221,257,LDL-receptor class A 6
P98164,Domain,265,308,LDL-receptor class A 7
P98164,Repeat,436,478,LDL-receptor class B 1
P98164,Repeat,479,521,LDL-receptor class B 2
P98164,Repeat,522,568,LDL-receptor class B 3
P98164,Repeat,569,613,LDL-receptor class B 4
P98164,Repeat,753,795,LDL-receptor class B 5
P98164,Repeat,796,837,LDL-receptor class B 6
P98164,Repeat,838,881,LDL-receptor class B 7
P98164,Repeat,882,925,LDL-receptor class B 8
P98164,Domain,1025,1061,LDL-receptor class A 8
P98164,Domain,1066,1102,LDL-receptor class A 9
P98164,Domain,1108,1144,LDL-receptor class A 10
P98164,Domain,1148,1184,LDL-receptor class A 11
P98164,Domain,1186,1223,LDL-receptor class A 12
P98164,Domain,1229,1267,LDL-receptor class A 13
P98164,Domain,1270,1306,LDL-receptor class A 14
P98164,Domain,1304,1349,LDL-receptor class A 15
P98164,Domain,1390,1429,EGF-like 1
P98164,Repeat,1478,1520,LDL-receptor class B 9
P98164,Repeat,1521,1563,LDL-receptor class B 10
P98164,Repeat,1566,1609,LDL-receptor class B 11
P98164,Repeat,1610,1654,LDL-receptor class B 12
